Symbol,Company,Average Monthly Return,StdDev of Monthly Returns,Median of Monthly Returns,Mode of Monthly Returns,Max Monthly Return,Min Monthly Return,Kurtosis of Monthly Returns,Skewness of Monthly Returns
ETR,ENTERGY CORPORATION (XNYS:ETR),1.560000%,5.620000%,0.970000%,-15.420000%,13.480000%,-15.420000%,33.920000%,-24.780000%
EVRG,"Evergy, Inc. (XNAS:EVRG)",0.530000%,5.410000%,1.180000%,-14.510000%,11.630000%,-14.510000%,23.510000%,-56.430000%
EW,EDWARDS LIFESCIENCES CORPORATION (XNYS:EW),0.230000%,9.590000%,1.780000%,4.840000%,19.800000%,-31.390000%,84.330000%,-64.140000%
EXC,EXELON CORPORATION (XNAS:EXC),0.770000%,5.970000%,0.000000%,-16.220000%,13.290000%,-16.220000%,11.270000%,-2.280000%
EXE,EXPAND ENERGY CORPORATION (XNAS:EXE),2.320000%,8.070000%,3.770000%,0.000000%,24.290000%,-20.090000%,35.300000%,-19.130000%
EXPD,"EXPEDITORS INTERNATIONAL OF WASHINGTON, INC (XNYS:EXPD)",1.310000%,7.510000%,1.840000%,-18.280000%,22.360000%,-18.280000%,73.910000%,-1.730000%
EXPE,"EXPEDIA GROUP, INC. (XNAS:EXPE)",2.870000%,12.650000%,1.730000%,-33.230000%,45.670000%,-33.230000%,224.280000%,54.410000%
EXR,EXTRA SPACE STORAGE INC. (XNYS:EXR),0.540000%,8.250000%,1.660000%,-16.620000%,19.320000%,-16.620000%,-54.850000%,-3.150000%
F,FORD MOTOR COMPANY (XNYS:F),2.070000%,13.370000%,1.570000%,-27.320000%,36.230000%,-27.320000%,40.870000%,60.360000%
FANG,"DIAMONDBACK ENERGY, INC. (XNAS:FANG)",2.700000%,11.670000%,0.960000%,-25.180000%,45.450000%,-25.180000%,289.120000%,106.030000%
FAST,Fastenal Company (XNAS:FAST),1.420000%,6.760000%,2.410000%,-14.160000%,14.540000%,-14.160000%,-41.070000%,-40.470000%
FCX,FREEPORT-MCMORAN INC. (XNYS:FCX),2.270000%,13.020000%,-0.260000%,-30.370000%,39.040000%,-30.370000%,50.040000%,36.660000%
FDS,FACTSET RESEARCH SYSTEMS INC. (XNYS:FDS),-0.510000%,7.550000%,-0.080000%,-21.770000%,13.400000%,-21.770000%,85.630000%,-74.060000%
FDX,FEDEX CORPORATION (XNYS:FDX),1.040000%,10.130000%,1.420000%,-31.940000%,23.940000%,-31.940000%,76.670000%,-29.720000%
FE,FIRSTENERGY CORP. (XNYS:FE),0.630000%,5.150000%,0.650000%,-1.870000%,10.700000%,-9.280000%,-77.420000%,1.740000%
FFIV,"F5, INC. (XNAS:FFIV)",1.260000%,8.430000%,2.450000%,-29.470000%,13.740000%,-29.470000%,210.170000%,-110.120000%
FICO,FAIR ISAAC CORPORATION (XNYS:FICO),1.970000%,10.900000%,3.010000%,-22.120000%,28.080000%,-22.120000%,-35.170000%,1.520000%
FIS,"FIDELITY NATIONAL INFORMATION SERVICES, INC. (XNYS:FIS)",-1.220000%,9.150000%,-0.660000%,-22.940000%,18.150000%,-22.940000%,-25.460000%,-18.080000%
FISV,"FISERV, INC. (XNAS:FISV)",-0.170000%,9.750000%,0.800000%,-48.280000%,14.580000%,-48.280000%,911.580000%,-213.540000%
FITB,FIFTH THIRD BANCORP (XNAS:FITB),1.640000%,8.850000%,0.960000%,-26.630000%,21.800000%,-26.630000%,61.040000%,-19.320000%
