Symbol,Company,Average Monthly Return,StdDev of Monthly Returns,Median of Monthly Returns,Mode of Monthly Returns,Max Monthly Return,Min Monthly Return,Kurtosis of Monthly Returns,Skewness of Monthly Returns
HON,HONEYWELL INTERNATIONAL INCORPORATION (XNAS:HON),-0.121500%,6.252400%,-0.804000%,-11.819000%,22.190000%,-11.819000%,156.157000%,87.560500%
HOOD,"ROBINHOOD MARKETS, INC. (XNAS:HOOD)",4.561300%,22.782100%,0.000000%,0.000000%,87.430000%,-31.534000%,210.543000%,128.280100%
HPE,HEWLETT PACKARD ENTERPRISE COMPANY (XNYS:HPE),1.686700%,9.662300%,0.698000%,-27.183000%,27.553000%,-27.183000%,89.318500%,14.166500%
HPQ,HP INC. (XNYS:HPQ),0.317000%,9.606200%,-0.398000%,-15.602000%,30.444000%,-15.602000%,167.745600%,91.512000%
HRL,HORMEL FOODS CORPORATION (XNYS:HRL),-0.827800%,6.414300%,-1.582000%,-14.410000%,17.899000%,-14.410000%,127.131800%,51.964500%
HSIC,"HENRY SCHEIN, INC. (XNAS:HSIC)",0.403700%,7.989700%,-0.895000%,-14.388000%,18.200000%,-14.388000%,-44.816200%,44.917000%
HST,"HOST HOTELS & RESORTS, INC. (XNAS:HST)",1.064300%,9.150200%,0.257000%,-21.561000%,25.382000%,-21.561000%,55.136200%,23.332200%
HSY,THE HERSHEY COMPANY (XNYS:HSY),0.787100%,6.095700%,-0.298000%,-11.869000%,15.719000%,-11.869000%,-10.500100%,48.329600%
HUBB,HUBBELL INCORPORATED (XNYS:HUBB),2.482500%,8.990800%,2.939000%,-21.773000%,23.685000%,-21.773000%,25.702200%,-6.877400%
HUM,HUMANA INC. (XNYS:HUM),-0.372600%,9.436100%,-0.892000%,-18.599000%,21.527000%,-18.599000%,-40.018500%,26.972900%
HWM,HOWMET AEROSPACE INC. (XNYS:HWM),4.786900%,10.299800%,3.662000%,-0.529000%,30.716000%,-13.875000%,-42.186100%,49.864000%
IBKR,"INTERACTIVE BROKERS GROUP, INC. (XNAS:IBKR)",3.680400%,10.446800%,3.767000%,-23.846000%,25.870000%,-23.846000%,13.073600%,27.999100%
IBM,INTERNATIONAL BUSINESS MACHINES CORPORATION (XNYS:IBM),1.432800%,7.214200%,0.391000%,-14.122000%,16.396000%,-14.122000%,-37.504500%,28.568900%
ICE,"INTERCONTINENTAL EXCHANGE, INC. (XNYS:ICE)",1.015600%,6.746000%,1.205000%,-13.171000%,20.589000%,-13.171000%,13.308400%,12.192800%
IDXX,"IDEXX LABORATORIES, INC. (XNAS:IDXX)",1.462700%,10.249900%,1.094000%,-22.957000%,21.108000%,-22.957000%,-19.608500%,-12.592100%
IEX,IDEX CORPORATION (XNYS:IEX),-0.172200%,7.205700%,-0.676000%,-19.321000%,15.376000%,-19.321000%,-12.795800%,-6.757900%
IFF,INTERNATIONAL FLAVORS & FRAGRANCES INC. (XNYS:IFF),-0.590700%,8.948500%,-0.352000%,-20.287000%,24.230000%,-20.287000%,46.597700%,3.175500%
INCY,INCYTE CORPORATION (XNAS:INCY),0.010500%,7.712400%,0.816000%,-18.352000%,15.550000%,-18.352000%,-29.885300%,-28.405500%
INTC,INTEL CORPORATION (XNAS:INTC),0.614600%,12.469000%,0.408000%,-31.017000%,37.782000%,-31.017000%,84.074600%,15.838700%
INTU,INTUIT INC. (XNAS:INTU),1.086600%,8.165200%,-0.317000%,-15.046000%,20.081000%,-15.046000%,-27.288600%,14.557300%
INVH,INVITATION HOMES INC. (XNYS:INVH),0.002200%,6.173300%,-1.153000%,-10.919000%,12.361000%,-10.919000%,-82.705700%,40.220700%
IP,INTERNATIONAL PAPER COMPANY (XNYS:IP),-0.259200%,9.064500%,-0.192000%,-1.312000%,29.050000%,-23.835000%,129.981300%,30.194500%
IQV,IQVIA HOLDINGS INC (XNYS:IQV),0.954900%,9.830100%,-0.456000%,-14.822000%,21.513000%,-14.822000%,-74.821100%,39.052300%
IR,INGERSOLL RAND INC. (XNYS:IR),1.443300%,8.678500%,0.465000%,-14.680000%,18.896000%,-14.680000%,-67.228800%,19.111700%
IRM,IRON MOUNTAIN INCORPORATED (XNYS:IRM),2.330400%,8.833600%,3.485000%,-16.423000%,20.666000%,-16.423000%,-41.615500%,-24.130200%
ISRG,"INTUITIVE SURGICAL, INC. (XNAS:ISRG)",1.623400%,10.015000%,0.222000%,-20.907000%,31.493000%,-20.907000%,39.171600%,22.027300%
IT,"GARTNER, INC. (XNYS:IT)",1.187700%,10.060800%,0.936000%,-25.826000%,30.960000%,-25.826000%,105.397200%,11.349100%
ITW,ILLINOIS TOOL WORKS INC. (XNYS:ITW),0.497900%,6.580900%,0.885000%,-12.409000%,18.201000%,-12.409000%,13.016900%,32.762700%
IVZ,INVESCO LTD (XNYS:IVZ),1.157100%,11.373900%,2.890000%,-21.113000%,33.228000%,-21.113000%,26.374200%,36.710100%
J,JACOBS SOLUTIONS INC. (XNYS:J),1.035300%,7.237600%,1.524000%,-13.730000%,28.041000%,-13.730000%,220.299200%,55.504900%
JBHT,"J. B. HUNT TRANSPORT SERVICES, INC. (XNAS:JBHT)",1.107100%,8.719300%,0.486000%,-18.409000%,25.855000%,-18.409000%,81.351300%,46.001200%
JBL,JABIL INC. (XNYS:JBL),3.424500%,9.778600%,2.724000%,-16.759000%,29.814000%,-16.759000%,13.259800%,27.507000%
JCI,JOHNSON CONTROLS INTERNATIONAL PUBLIC LIMITED COMPANY (XNYS:JCI),2.165700%,9.117600%,2.705000%,-15.083000%,23.970000%,-15.083000%,-47.011600%,12.589000%
JKHY,"JACK HENRY & ASSOCIATES, INC. (XNAS:JKHY)",0.462100%,6.861800%,0.491000%,-16.309000%,17.424000%,-16.309000%,22.952600%,33.520500%
JNJ,JOHNSON & JOHNSON (XNYS:JNJ),0.467600%,4.717000%,0.540000%,-8.597000%,9.709000%,-8.597000%,-68.217500%,14.391400%
JPM,JPMORGAN CHASE & CO. (XNYS:JPM),2.133400%,7.336000%,2.338000%,-14.838000%,20.459000%,-14.838000%,-7.868900%,15.680000%
KDP,KEURIG DR PEPPER INC. (XNAS:KDP),-0.203600%,5.250900%,-0.438000%,-12.307000%,9.879000%,-12.307000%,-22.539900%,-9.450000%
KEY,KEYCORP (XNYS:KEY),1.139200%,10.771500%,2.742000%,-34.758000%,33.225000%,-34.758000%,176.699100%,-9.656900%
KEYS,"KEYSIGHT TECHNOLOGIES, INC. (XNYS:KEYS)",0.616100%,8.275100%,0.793000%,-18.251000%,17.954000%,-18.251000%,-37.537300%,-17.104000%
KHC,THE KRAFT HEINZ COMPANY (XNAS:KHC),-0.236900%,6.425800%,-0.619000%,-11.260000%,19.367000%,-11.260000%,45.791800%,72.172700%
KIM,KIMCO REALTY CORPORATION. (XNYS:KIM),0.645700%,7.064400%,-0.172000%,-16.406000%,16.133000%,-16.406000%,-39.087500%,6.879500%
KKR,KKR & CO. INC. (XNYS:KKR),2.610400%,12.546800%,3.363000%,-30.801000%,36.895000%,-30.801000%,47.738500%,12.779800%
KLAC,KLA Corporation (XNAS:KLAC),3.287300%,9.656900%,2.310000%,-13.969000%,24.238000%,-13.969000%,-68.662500%,24.049400%
KMB,KIMBERLY-CLARK CORPORATION (XNAS:KMB),-0.414400%,5.737800%,-1.794000%,-11.747000%,12.723000%,-11.747000%,-45.583700%,36.115600%
KMI,"KINDER MORGAN, INC. (XNYS:KMI)",1.344700%,6.206700%,1.834000%,-14.881000%,18.253000%,-14.881000%,26.988700%,10.196700%
KO,THE COCA-COLA COMPANY (XNYS:KO),0.698400%,5.173500%,0.964000%,-12.199000%,12.888000%,-12.199000%,44.716200%,11.548600%
