Symbol,Average Monthly Return,StdDev of Monthly Returns,Median of Monthly returns,Mode of Monthly Returns,Max Monthly Return,Min Monthly Return,Kurtosis of Monthly Returns,Skewness of Monthly Returns
GDDY,0.012818852,0.093642046,-0.00101,-0.15589,0.36638,-0.15589,2.201410821,0.999497435
GE,0.046846721,0.111531575,0.02597,-0.18674,0.37197,-0.18674,0.868085401,0.63372406
GEHC,0.011823443,0.073290471,0,0,0.24427,-0.16137,2.971329873,1.220359662
GEN,0.005215902,0.096461045,0.00683,-0.25424,0.32533,-0.25424,2.470191725,0.746687103
GEV,0.024509344,0.082052472,0,0,0.2755,-0.18129,2.874779913,1.424862109
GILD,0.012697213,0.071973721,-0.00185,-0.06402,0.27184,-0.13439,1.943878326,0.842973035
GIS,-0.003248361,0.046363105,-0.0075,-0.09473,0.09082,-0.09473,-0.57829362,0.131368988
GL,0.012695574,0.073666813,0.00695,-0.34545,0.15868,-0.34545,8.408328139,-1.638081753
GLW,0.018029016,0.087571111,0.01609,-0.15443,0.22378,-0.15443,-0.235779416,0.324817281
GM,0.01604377,0.107103862,0.01283,-0.09924,0.26962,-0.1789,-0.487993005,0.136090092
GNRC,0.012192787,0.167016819,0.00546,-0.34933,0.39253,-0.34933,-0.141553846,0.419527445
GOOG,0.022029672,0.084342891,0.0329,-0.24013,0.16508,-0.24013,0.725553933,-0.803503468
GOOGL,0.022230656,0.08445273,0.03172,-0.24204,0.15668,-0.24204,0.752406235,-0.844876543
GPC,0.012158852,0.076598708,0.00598,-0.17884,0.23125,-0.17884,0.470746784,0.357195616
GPN,-0.008957705,0.1017691,-0.00917,-0.22069,0.23742,-0.22069,-0.690363978,0.115333665
GRMN,0.015790492,0.081876107,0.01687,-0.13936,0.24588,-0.13936,-0.01593797,0.307004602
GS,0.028370656,0.089510517,0.02019,-0.14696,0.21974,-0.14696,-0.743435833,0.206024555
GWW,0.02241918,0.08358947,0.01502,-0.12552,0.21505,-0.12552,-0.273729643,0.482254496
HAL,0.024286721,0.139469416,0.01345,-0.23241,0.47929,-0.23241,1.389137002,0.824227295
HAS,0.00472459,0.081294295,0.00606,-0.31736,0.15465,-0.31736,2.822693022,-1.036992571
HBAN,0.013590164,0.088539513,0.00989,-0.2617,0.18866,-0.2617,0.379205662,-0.231900057
HCA,0.02740377,0.097437273,0.03376,-0.20124,0.26395,-0.20124,-0.439460173,0.027845974
HD,0.002785574,0.073871804,0.00237,-0.18434,0.13246,-0.18434,-0.52874961,-0.288162554
HIG,0.02687918,0.079389842,0.01965,-0.00083,0.39088,-0.11281,6.353134959,1.630715994
HII,0.019001639,0.090298303,0.00909,-0.3004,0.3084,-0.3004,2.573241169,-0.120406607
HLT,0.027479836,0.081535059,0.02584,-0.20886,0.21984,-0.20886,0.369938024,-0.109702357
HOLX,-0.000813115,0.062934958,0.0021,-0.14375,0.1247,-0.14375,-0.506324429,-0.074380189
HON,0.002435246,0.069746311,-0.00804,-0.11819,0.23625,-0.11819,2.097217074,1.146857782
HOOD,0.04374,0.229447587,0,0,0.8743,-0.31534,2.055513666,1.249709144
HPE,0.020030164,0.103319756,0.01065,-0.27183,0.27778,-0.27183,0.769904669,0.234634766
HPQ,0.010402623,0.100580464,0.00249,-0.15602,0.30444,-0.15602,1.046719719,0.77600809
HRL,-0.00921377,0.063575868,-0.01582,-0.1441,0.17899,-0.1441,1.423421252,0.552787785
HSIC,0.003707213,0.07924958,-0.00895,-0.14388,0.182,-0.14388,-0.511758149,0.419747874
HST,0.016244262,0.100719084,-0.00225,-0.21561,0.33875,-0.21561,1.154596283,0.583296447
HSY,0.010117213,0.061026011,0.00304,-0.11869,0.15719,-0.11869,-0.2170054,0.372500797
HUBB,0.024544754,0.091244129,0.02819,-0.21773,0.23685,-0.21773,0.11217622,-0.065047122
HUM,-0.006326066,0.095369509,-0.00892,-0.18599,0.21527,-0.18599,-0.303981374,0.246818251
HWM,0.056071967,0.112637207,0.03714,-0.00529,0.36,-0.13875,-0.273472897,0.573840247
IBKR,0.038531475,0.10658214,0.0378,-0.23846,0.2587,-0.23846,-0.017531573,0.188867211
IBM,0.016514426,0.072940313,0.01311,-0.14122,0.16396,-0.14122,-0.48531021,0.220822535
ICE,0.012427213,0.069330879,0.01205,-0.13171,0.20589,-0.13171,-0.095630527,0.094159291
IDXX,0.018227377,0.101011635,0.02083,-0.22957,0.21108,-0.22957,-0.136429097,-0.259810527
IEX,2.59E-05,0.074112847,-0.00676,-0.19321,0.15376,-0.19321,-0.245880071,-0.029973633
IFF,-0.004807213,0.089805253,0.00264,-0.20287,0.2423,-0.20287,0.409326864,-0.004410233
INCY,0.000151803,0.076270089,0.00816,-0.18352,0.1555,-0.18352,-0.237486454,-0.322856362
INTC,0.006049508,0.125719366,0.00408,-0.31017,0.37782,-0.31017,0.739773452,0.142741167
INTU,0.014795574,0.082449365,0.01008,-0.15046,0.20081,-0.15046,-0.355462705,0.052166208
INVH,0.001879508,0.062179895,-0.00896,-0.10919,0.12361,-0.10919,-0.929639973,0.313688513
IP,-0.001566066,0.092172985,-0.00192,-0.01312,0.2905,-0.23835,1.077185716,0.303849143
IPG,0.008750492,0.079684047,0.00234,-0.14583,0.23162,-0.14583,0.301618402,0.588545208
IQV,0.011406557,0.098832739,-0.00449,-0.14822,0.21513,-0.14822,-0.81802955,0.338095791
IR,0.018510984,0.092404247,0.01743,-0.1468,0.26703,-0.1468,-0.278954543,0.372485367
